DrugDDI.d431.s1.e0:MTX	MTX	DrugDDI.d431.s1.e1:NSAIDs	NSAIDs	FALSE
DrugDDI.d431.s1.e0:MTX	MTX	DrugDDI.d431.s1.e2:corticosteroids	corticosteroids	FALSE
DrugDDI.d431.s1.e0:MTX	MTX	DrugDDI.d431.s1.e3:abatacept	abatacept	FALSE
DrugDDI.d431.s1.e1:NSAIDs	MTX	DrugDDI.d431.s1.e2:corticosteroids	corticosteroids	FALSE
DrugDDI.d431.s1.e1:NSAIDs	NSAIDs	DrugDDI.d431.s1.e3:abatacept	abatacept	FALSE
DrugDDI.d431.s1.e2:corticosteroids	NSAIDs	DrugDDI.d431.s1.e3:abatacept	abatacept	FALSE
DrugDDI.d431.s2.e0:medications	corticosteroids	DrugDDI.d431.s2.e1:ORENCIA	ORENCIA	FALSE
DrugDDI.d431.s2.e0:medications	medications	DrugDDI.d431.s2.e2:MTX	MTX	FALSE
DrugDDI.d431.s2.e0:medications	medications	DrugDDI.d431.s2.e3:NSAIDs	NSAIDs	FALSE
DrugDDI.d431.s2.e0:medications	medications	DrugDDI.d431.s2.e4:corticosteroids	corticosteroids	FALSE
DrugDDI.d431.s2.e0:medications	medications	DrugDDI.d431.s2.e5:azathioprine	azathioprine	FALSE
DrugDDI.d431.s2.e0:medications	medications	DrugDDI.d431.s2.e6:chloroquine	chloroquine	FALSE
DrugDDI.d431.s2.e0:medications	medications	DrugDDI.d431.s2.e7:gold	gold	FALSE
DrugDDI.d431.s2.e0:medications	medications	DrugDDI.d431.s2.e8:hydroxychloroquine	hydroxychloroquine	FALSE
DrugDDI.d431.s2.e0:medications	medications	DrugDDI.d431.s2.e9:leflunomide	leflunomide	FALSE
DrugDDI.d431.s2.e0:medications	medications	DrugDDI.d431.s2.e10:sulfasalazine	sulfasalazine	FALSE
DrugDDI.d431.s2.e0:medications	medications	DrugDDI.d431.s2.e11:anakinra	anakinra	FALSE
DrugDDI.d431.s2.e1:ORENCIA	medications	DrugDDI.d431.s2.e2:MTX	MTX	FALSE
DrugDDI.d431.s2.e1:ORENCIA	ORENCIA	DrugDDI.d431.s2.e3:NSAIDs	NSAIDs	FALSE
DrugDDI.d431.s2.e1:ORENCIA	ORENCIA	DrugDDI.d431.s2.e4:corticosteroids	corticosteroids	FALSE
DrugDDI.d431.s2.e1:ORENCIA	ORENCIA	DrugDDI.d431.s2.e5:azathioprine	azathioprine	FALSE
DrugDDI.d431.s2.e1:ORENCIA	ORENCIA	DrugDDI.d431.s2.e6:chloroquine	chloroquine	FALSE
DrugDDI.d431.s2.e1:ORENCIA	ORENCIA	DrugDDI.d431.s2.e7:gold	gold	FALSE
DrugDDI.d431.s2.e1:ORENCIA	ORENCIA	DrugDDI.d431.s2.e8:hydroxychloroquine	hydroxychloroquine	FALSE
DrugDDI.d431.s2.e1:ORENCIA	ORENCIA	DrugDDI.d431.s2.e9:leflunomide	leflunomide	FALSE
DrugDDI.d431.s2.e1:ORENCIA	ORENCIA	DrugDDI.d431.s2.e10:sulfasalazine	sulfasalazine	FALSE
DrugDDI.d431.s2.e1:ORENCIA	ORENCIA	DrugDDI.d431.s2.e11:anakinra	anakinra	FALSE
DrugDDI.d431.s2.e2:MTX	ORENCIA	DrugDDI.d431.s2.e3:NSAIDs	NSAIDs	FALSE
DrugDDI.d431.s2.e2:MTX	MTX	DrugDDI.d431.s2.e4:corticosteroids	corticosteroids	FALSE
DrugDDI.d431.s2.e2:MTX	MTX	DrugDDI.d431.s2.e5:azathioprine	azathioprine	FALSE
DrugDDI.d431.s2.e2:MTX	MTX	DrugDDI.d431.s2.e6:chloroquine	chloroquine	FALSE
DrugDDI.d431.s2.e2:MTX	MTX	DrugDDI.d431.s2.e7:gold	gold	FALSE
DrugDDI.d431.s2.e2:MTX	MTX	DrugDDI.d431.s2.e8:hydroxychloroquine	hydroxychloroquine	FALSE
DrugDDI.d431.s2.e2:MTX	MTX	DrugDDI.d431.s2.e9:leflunomide	leflunomide	FALSE
DrugDDI.d431.s2.e2:MTX	MTX	DrugDDI.d431.s2.e10:sulfasalazine	sulfasalazine	FALSE
DrugDDI.d431.s2.e2:MTX	MTX	DrugDDI.d431.s2.e11:anakinra	anakinra	FALSE
DrugDDI.d431.s2.e3:NSAIDs	MTX	DrugDDI.d431.s2.e4:corticosteroids	corticosteroids	FALSE
DrugDDI.d431.s2.e3:NSAIDs	NSAIDs	DrugDDI.d431.s2.e5:azathioprine	azathioprine	FALSE
DrugDDI.d431.s2.e3:NSAIDs	NSAIDs	DrugDDI.d431.s2.e6:chloroquine	chloroquine	FALSE
DrugDDI.d431.s2.e3:NSAIDs	NSAIDs	DrugDDI.d431.s2.e7:gold	gold	FALSE
DrugDDI.d431.s2.e3:NSAIDs	NSAIDs	DrugDDI.d431.s2.e8:hydroxychloroquine	hydroxychloroquine	FALSE
DrugDDI.d431.s2.e3:NSAIDs	NSAIDs	DrugDDI.d431.s2.e9:leflunomide	leflunomide	FALSE
