mtx,nsaids
mtx,corticosteroids
mtx,abatacept
mtx,corticosteroids
nsaids,abatacept
nsaids,abatacept
corticosteroids,orencia
medications,mtx
medications,nsaids
medications,corticosteroids
medications,azathioprine
medications,chloroquine
medications,gold
medications,hydroxychloroquine
medications,leflunomide
medications,sulfasalazine
medications,anakinra
medications,mtx
orencia,nsaids
orencia,corticosteroids
orencia,azathioprine
orencia,chloroquine
orencia,gold
orencia,hydroxychloroquine
orencia,leflunomide
orencia,sulfasalazine
orencia,anakinra
orencia,nsaids
mtx,corticosteroids
mtx,azathioprine
mtx,chloroquine
mtx,gold
mtx,hydroxychloroquine
mtx,leflunomide
mtx,sulfasalazine
mtx,anakinra
mtx,corticosteroids
nsaids,azathioprine
nsaids,chloroquine
nsaids,gold
nsaids,hydroxychloroquine
nsaids,leflunomide
nsaids,sulfasalazine
nsaids,anakinra
nsaids,azathioprine
corticosteroids,chloroquine
corticosteroids,gold
corticosteroids,hydroxychloroquine
corticosteroids,leflunomide
corticosteroids,sulfasalazine
corticosteroids,anakinra
corticosteroids,chloroquine
azathioprine,gold
azathioprine,hydroxychloroquine
azathioprine,leflunomide
azathioprine,sulfasalazine
azathioprine,anakinra
azathioprine,gold
chloroquine,hydroxychloroquine
chloroquine,leflunomide
chloroquine,sulfasalazine
chloroquine,anakinra
chloroquine,hydroxychloroquine
gold,leflunomide
gold,sulfasalazine
gold,anakinra
gold,leflunomide
hydroxychloroquine,sulfasalazine
hydroxychloroquine,anakinra
hydroxychloroquine,sulfasalazine
leflunomide,anakinra
leflunomide,anakinra
sulfasalazine,orencia
tnf,tnf
orencia,anakinra
orencia,medications
abciximab,heparin
medications,beta-adrenergic receptor blockers
medications,calcium channel
medications,angiotensin converting enzyme inhibitors
medications,nitrates
medications,ticlopidine
medications,aspirin
medications,beta-adrenergic receptor blockers
heparin,calcium channel
heparin,angiotensin converting enzyme inhibitors
heparin,nitrates
heparin,ticlopidine
heparin,aspirin
heparin,calcium channel
beta-adrenergic receptor blockers,angiotensin converting enzyme inhibitors
beta-adrenergic receptor blockers,nitrates
beta-adrenergic receptor blockers,ticlopidine
beta-adrenergic receptor blockers,aspirin
beta-adrenergic receptor blockers,angiotensin converting enzyme inhibitors
calcium channel,nitrates
calcium channel,ticlopidine
calcium channel,aspirin
calcium channel,nitrates
angiotensin converting enzyme inhibitors,ticlopidine
angiotensin converting enzyme inhibitors,aspirin
angiotensin converting enzyme inhibitors,ticlopidine
nitrates,aspirin
nitrates,aspirin
ticlopidine,anticoagulants
heparin,thrombolytic
heparin,anti platelet agents
heparin,thrombolytic
anticoagulants,anti platelet agents
anticoagulants,anti platelet agents
thrombolytic,acamprosate
alcohol,alcohol
alcohol,acamprosate
alcohol,alcohol
acamprosate,acamprosate
acamprosate,acamprosate
alcohol,diazepam
disulfiram,acamprosate
disulfiram,acamprosate
diazepam,acamprosate
naltrexone,acamprosate
naltrexone,acamprosate
acamprosate,beta-naltrexol
naltrexone,acamprosate
naltrexone,acamprosate
beta-naltrexol,anxiolytics
acamprosate,hypnotics
acamprosate,sedatives
acamprosate,benzodiazepines
acamprosate,non-opioid analgesics
acamprosate,medications
acamprosate,hypnotics
anxiolytics,sedatives
anxiolytics,benzodiazepines
anxiolytics,non-opioid analgesics
anxiolytics,medications
anxiolytics,sedatives
hypnotics,benzodiazepines
hypnotics,non-opioid analgesics
hypnotics,medications
hypnotics,benzodiazepines
sedatives,non-opioid analgesics
sedatives,medications
sedatives,non-opioid analgesics
benzodiazepines,medications
benzodiazepines,medications
non-opioid analgesics,antidepressants
acamprosate,medication
acamprosate,medication
antidepressants,thiazides
drugs,diuretics
drugs,corticosteroids
drugs,phenothiazines
drugs,thyroid
drugs,estrogens
drugs,oral contraceptives
drugs,phenytoin
drugs,nicotinic acid
drugs,sympathomimetics
drugs,calcium channel-blocking drugs
drugs,isoniazid
drugs,diuretics
thiazides,corticosteroids
thiazides,phenothiazines
thiazides,thyroid
thiazides,estrogens
thiazides,oral contraceptives
thiazides,phenytoin
thiazides,nicotinic acid
thiazides,sympathomimetics
thiazides,calcium channel-blocking drugs
thiazides,isoniazid
thiazides,corticosteroids
diuretics,phenothiazines
diuretics,thyroid
diuretics,estrogens
diuretics,oral contraceptives
diuretics,phenytoin
diuretics,nicotinic acid
diuretics,sympathomimetics
diuretics,calcium channel-blocking drugs
diuretics,isoniazid
diuretics,phenothiazines
corticosteroids,thyroid
corticosteroids,estrogens
corticosteroids,oral contraceptives
corticosteroids,phenytoin
corticosteroids,nicotinic acid
corticosteroids,sympathomimetics
corticosteroids,calcium channel-blocking drugs
corticosteroids,isoniazid
corticosteroids,thyroid
phenothiazines,estrogens
phenothiazines,oral contraceptives
phenothiazines,phenytoin
phenothiazines,nicotinic acid
phenothiazines,sympathomimetics
phenothiazines,calcium channel-blocking drugs
phenothiazines,isoniazid
phenothiazines,estrogens
thyroid,oral contraceptives
thyroid,phenytoin
thyroid,nicotinic acid
thyroid,sympathomimetics
thyroid,calcium channel-blocking drugs
thyroid,isoniazid
thyroid,oral contraceptives
estrogens,phenytoin
estrogens,nicotinic acid
estrogens,sympathomimetics
estrogens,calcium channel-blocking drugs
estrogens,isoniazid
estrogens,phenytoin
oral contraceptives,nicotinic acid
oral contraceptives,sympathomimetics
oral contraceptives,calcium channel-blocking drugs
oral contraceptives,isoniazid
oral contraceptives,nicotinic acid
phenytoin,sympathomimetics
phenytoin,calcium channel-blocking drugs
phenytoin,isoniazid
phenytoin,sympathomimetics
nicotinic acid,calcium channel-blocking drugs
nicotinic acid,isoniazid
nicotinic acid,calcium channel-blocking drugs
sympathomimetics,isoniazid
sympathomimetics,isoniazid
calcium channel-blocking drugs,acarbose
drugs,acarbose
drugs,sulfonylureas
drugs,insulin
drugs,sulfonylureas
acarbose,insulin
acarbose,insulin
sulfonylureas,charcoal
adsorbents,digestive enzyme preparations
adsorbents,amylase
adsorbents,pancreatin
adsorbents,acarbose
adsorbents,digestive enzyme preparations
charcoal,amylase
charcoal,pancreatin
charcoal,acarbose
charcoal,amylase
digestive enzyme preparations,pancreatin
digestive enzyme preparations,acarbose
digestive enzyme preparations,pancreatin
amylase,acarbose
amylase,acarbose
pancreatin,digoxin
acarbose,digoxin
acarbose,nifedipine
acarbose,propranolol
acarbose,ranitidine
acarbose,nifedipine
digoxin,propranolol
digoxin,ranitidine
digoxin,propranolol
nifedipine,ranitidine
nifedipine,ranitidine
propranolol,sulfonylurea
acarbose,digoxin
acarbose,digoxin
acarbose,max
acarbose,digoxin
acarbose,digoxin
digoxin,max
digoxin,digoxin
digoxin,max
digoxin,digoxin
digoxin,digoxin
max,acarbose
metformin,acarbose
metformin,metformin
metformin,metformin
acarbose,metformin
acarbose,reserpine
drugs,beta-blocking agent
drugs,beta-blocking agent
reserpine,stimulants
beta-adrenergic antagonist,beta-adrenoceptor blocking agent
antihypertensive,nonsteroidal anti-inflammatory drugs
antihypertensive,nonsteroidal anti-inflammatory drugs
beta-adrenoceptor blocking agent,hydrochlorothiazide
digoxin,hydralazine
digoxin,sulfinpyrazone
